Table,Abbreviation,Description,Module,Activity code,TablesMappedToModelOnly,TablesMappedToSubModel,linkedTablewithDescription
ACTION,ACT,Action dictionary,Supervisor,,,,"ACTIV  (Activity codes  ) , ACONSULT  (Inquiries  ) , AWINDOW  (Window dictionary  ) , ACTION  (Action dictionary  )"
BANK,BAN,Bank accounts,A/P-A/R accounting,,"Accounting,Common data","Payment,Company and Sites","TABCOUNTRY  (Country table  ) , ACCCOD  (Access codes  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , BANK  (Bank accounts  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GTYPACCENT  (Document types  ) , GJOURNAL  (Journal codes  )"
ACTIV,ACV,Activity codes,Supervisor,,,,ACTIV  (Activity codes  )
BAPPOINT,BAP,Appointment,Common Data,,Customer relation,Customer relations 2,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , AOBJET  (Basic objects  ) , FACILITY  (Sites  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , PIMPL  (  ) , SALESREP  (Sales rep  ) , CMARKETING  (Marketing campaign  ) , CORRESPOND  (Outlook contact  ) , RESRES  (Resource reservations  )"
ACTL,ACL,Control tables,Supervisor,,,,ACTL  (Control tables  )
BILLLADH,BOLH,Bill of lading header,Common Data,,,,"TABCOUNTRY  (Country table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  )"
ACTLDEV,ACD,Reserved brackets,Supervisor,,,,
BPARTNER,BPR,Business partner,Common Data,,"Accounting,Common data,Customer relation,Purchasing,Sales","Accounting Entry,Accounting Entry By Lot,Payment,Business Partner,Customer relations 1,Customer relations 2,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Invoice,Quotation,Sales Deliveries,Sales Returns","TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , GACCCODE  (Accounting codes  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  ) , BPCCATEG  (Customer category  )"
ACTPAR,ATR,Action parameters,Supervisor,,,,"ACTCODPAR  (Action parameters  ) , ACTION  (Action dictionary  )"
BPCCATEG,BCG,Customer category,Common Data,,Common data,Business Partner,"TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BANK  (Bank accounts  ) , TABUNAVAIL  (Unavailable periods  ) , TABVACBPR  (BP tax rule table  ) , TABPAYTERM  (Payment term table  ) , GDIAACC  (Account scheme header  ) , FACTOR  (Factors  ) , TABDEPAGIO  (Early discount/late charge table  ) , BPCCATEG  (Customer category  ) , SALESREP  (Sales rep  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , INCOTERM  (Incoterms  ) , TABINVCND  (  ) , TABPRTMOD  (Print template table  )"
ADELETE,ADL,Deletion,Supervisor,,,,AOBJET  (Basic objects  )
BPSCATEG,BSG,Supplier category,Common Data,,Common data,Business Partner,"TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  ) , TABCUR  (Currency table  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , PRICSTRUCT  (Price structure (cust/supp)  ) , BANK  (Bank accounts  ) , TABUNAVAIL  (Unavailable periods  ) , TABVACBPR  (BP tax rule table  ) , TABPAYTERM  (Payment term table  ) , GDIAACC  (Account scheme header  ) , RITENZIONE  (Table of withholding codes  ) , TABDEPAGIO  (Early discount/late charge table  ) , BPSCATEG  (Supplier category  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , INCOTERM  (Incoterms  ) , MATCHTOL  (Matching tolerance  ) , PFOOTINV  (Purchase invoicing elements  ) , TABPRTMOD  (Print template table  )"
CARAREA,CAA,Carrier regions,Common Data,,Common data,Business Partner,"TABCOUNTRY  (Country table  ) , FACILITY  (Sites  ) , BPCARRIER  (Carriers  )"
ADELIVERB,ADLB,Deliverable,Supervisor,,,,"AFONCTION  (Function dictionary  ) , ATABDIV  (Miscellaneous tables  ) , ADELIVER  (Deliverable  )"
ADELIVERD,ADLD,Deliverable,Supervisor,,,,"ACTIV  (Activity codes  ) , ADELIVER  (Deliverable  )"
ADELIVERL,ADLL,Deliverable,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , ADELIVER  (Deliverable  )"
ADELIVERO,ADLO,Deliverable,Supervisor,,,,"ATABLE  (Table dictionary  ) , ATABTAB  (Miscellaneous table set-up  ) , ATABDIV  (Miscellaneous tables  ) , ADELIVER  (Deliverable  ) , AWRKLNK  (Data models  )"
DEB,DEB,EU exchange declaration,Common Data,DEB,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , ITMMASTER  (Products  ) , INCOTERM  (Incoterms  ) , TABEECNAT  (Intrastat transaction nature table  ) , TABEECSCH  (Statistical rule table  )"
ADELIVERP,ADLP,Deliverable,Supervisor,,,,ADELIVER  (Deliverable  )
DEBREGNAT,DRN,Movement rule and nature,Common Data,DEB,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , TABEECNAT  (Intrastat transaction nature table  ) , TABEECSCH  (Statistical rule table  )"
ADELIVERR,ADLR,Deliverable,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , ADELIVER  (Deliverable  ) , ASHW  (Representations  )"
ADELIVERT,ADLT,Deliverable,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , ADELIVER  (Deliverable  )"
ADICTRT,ADC,Processes dictionary,Supervisor,,,,ACTIV  (Activity codes  )
FACTOR,FCT,Factors,Common Data,,"Common data,Sales","Business Partner,Sales Invoice","TABCOUNTRY  (Country table  ) , ACODNUM  (Doc sequence numbers  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , GACCCODE  (Accounting codes  ) , BPARTNER  (Business partner  ) , BANK  (Bank accounts  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , FACTOR  (Factors  ) , TABFILBAN  (Bank file definitions  )"
ADIMENSION,ADM,Sizing elements,Supervisor,,,,
INTERVEN,ITN,Service response,Common Data,,Customer relation,Service response,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , SORDER  (Sales orders - header  ) , SERREQUEST  (Service requests  ) , RESRES  (Resource reservations  ) , CONTSERV  (Service contract  ) , MACHINES  (Installed base  )"
ADOCBLB,ADB,Documentation (linked files),Supervisor,,,,"TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  )"
MANDATE,MDT,Mandates,Common Data,SDD,,,"TABCOUNTRY  (Country table  ) , ACCCOD  (Access codes  ) , COMPANY  (Company  ) , BPARTNER  (Business partner  ) , MANDATE  (Mandates  )"
ADOCCLB,ADH,Documentation (texts),Supervisor,,,,"TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  )"
PHONECALL,CLL,Call,Common Data,,Customer relation,Customer relations 2,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , AOBJET  (Basic objects  ) , FACILITY  (Sites  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , PIMPL  (  ) , SALESREP  (Sales rep  ) , CMARKETING  (Marketing campaign  ) , CORRESPOND  (Outlook contact  ) , SCRIPT  (Call script  )"
ADOCFLD,ADZ,Field documentation,Supervisor,,,,"TABLAN  (Language table  ) , ADOCFLD  (Field documentation  )"
PINVOICE,PIH,Purchase invoices,Common Data,,"Purchasing,Sales","Purchase Invoice,Sales Invoice","TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  ) , GLED  (Ledger  ) , TABVAT  (Tax code table  ) , GJOURNAL  (Journal codes  ) , BPSUPPLIER  (Suppliers  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , TABPAYTERM  (Payment term table  ) , RITENZIONE  (Table of withholding codes  ) , TABDEPAGIO  (Early discount/late charge table  ) , BPCARRIER  (Carriers  ) , INCOTERM  (Incoterms  ) , TABEECNAT  (Intrastat transaction nature table  ) , TABEECSCH  (Statistical rule table  ) , TABPIVTYP  (Supp invoice type table  )"
ADOCFNC,ADF,Documentation links,Supervisor,,,,"ACTIV  (Activity codes  ) , ATABDIV  (Miscellaneous tables  )"
SEBPC,SEB,Payment gateway customer data,Common Data,SEPP,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , BPARTNER  (Business partner  ) , SEPRC  (Payment gateway setup  )"
ADOCUMENT,ADO,Documentation,Supervisor,,,,"TABLAN  (Language table  ) , ACTIV  (Activity codes  ) , ATABDIV  (Miscellaneous tables  ) , AMSK  (Screen dictionary  )"
SETXN,SEX,Credit card transactions,Common Data,SEPP,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , BPCUSTOMER  (Customers  )"
ADOPAR,ADP,Parameters,Supervisor,,,,"ACTIV  (Activity codes  ) , ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , AOBJET  (Basic objects  )"
SINVOICE,SIH,Sales invoices,Common Data,,Sales,"Quotation,Sales Invoice","TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , WAREHOUSE  (Warehouses  ) , BPARTNER  (Business partner  ) , BANK  (Bank accounts  ) , GTYPACCENT  (Document types  ) , GLED  (Ledger  ) , TABVAT  (Tax code table  ) , GJOURNAL  (Journal codes  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , TABPAYTERM  (Payment term table  ) , MANDATE  (Mandates  ) , FACTOR  (Factors  ) , TABDEPAGIO  (Early discount/late charge table  ) , TABSIVTYP  (Customer invoice type table  )"
ADOSACT,ADA,Activity codes,Supervisor,,,,"ADOSSIER  (Folder table  ) , ACTIV  (Activity codes  )"
ADOSDIM,ADE,Sizing elements,Supervisor,,,,ADOSSIER  (Folder table  )
ADOSLIV,ADK,Deliverables,Supervisor,,,,"ADOSSIER  (Folder table  ) , ADELIVER  (Deliverable  )"
ADOSSOL,ADD,Solution by folder,Supervisor,,,,ADOSSIER  (Folder table  )
ADOVAL,ADW,Parameter values,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  )"
ADOVALAUS,ADU,User parameter values,Supervisor,,,,ATABDIV  (Miscellaneous tables  )
ADOVALGRP,ADG,Sets of values,Supervisor,,,,ATABDIV  (Miscellaneous tables  )
BATCH,BTC,Batch job parameters,Financials,,,,ABATABT  (Batch server (recurring tasks)  )
AUTILIS,AUS,Users,Supervisor,,"Common data,Customer relation,Purchasing,Sales","Item,Service response,Purchase Requests,Request For Quotations,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Returns,Sales Returns","AFONCTION  (Function dictionary  ) , ABIPRFUSR  (BI user profile  ) , ACCCOD  (Access codes  ) , AFCTFCT  (User function profile  ) , TABCUR  (Currency table  ) , APROFIL  (User profile  ) , AMETUTI  (Trade profile  ) , APRINTER  (Destinations  ) , ARCHPARU  (EDM user profile  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , WAREHOUSE  (Warehouses  )"
ADOVALHIS,AHW,Parameter values,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  )"
AECLIDBG,AEG,Eclipse,Supervisor,,,,ADOSSIER  (Folder table  )
AECLIRDV,AEC,Eclipse,Supervisor,,,,ADOSSIER  (Folder table  )
AELT,AEL,Web elements dictionary,Supervisor,,,,
AELTLINK,AEK,Web element links,Supervisor,,,,
AENCHAINE,AEN,Import/export sequence,Supervisor,,,,AOBJEXT  (Import/export templates  )
AENTREE,APE,Entry points,Supervisor,,,,"ACTIV  (Activity codes  ) , AOBJET  (Basic objects  )"
AESPION,AES,Trace system transactions,Supervisor,,,,"AFONCTION  (Function dictionary  ) , ATABLE  (Table dictionary  ) , ATABDIV  (Miscellaneous tables  )"
AEXPV3,AEV,Table setup/import,Supervisor,,,,"AOBJEXT  (Import/export templates  ) , AEXPV3  (Table setup/import  )"
AMIGKEY,AMY,Keys,Supervisor,,,,ADOSSIER  (Folder table  )
AEXPV3D,AED,Table setup/import,Supervisor,,,,"AEXPV3  (Table setup/import  ) , AOBJEXTR  (Transcribe import/export  )"
AMOULIN1,AI1,Migration plan,Supervisor,,,,ADOSSIER  (Folder table  )
AFCTCUR,AFU,Current function,Supervisor,,,,
APATCHLOG,APL,Patch tracking,Supervisor,,,,ADOSSIER  (Folder table  )
AFCTEXE,AFE,Last functions executed,Supervisor,,,,AFONCTION  (Function dictionary  )
APATCHLOGD,APLD,Patch tracking,Supervisor,,,,ADOSSIER  (Folder table  )
AFCTFCT,AFT,User function profile,Supervisor,,,,"AFCTFCT  (User function profile  ) , FACILITY  (Sites  )"
APATCHTMP,APATMP,Patch integration,Supervisor,,,,"ADOSSIER  (Folder table  ) , AVOLUME  (Volume  )"
AFCTFCY,AFF,Site profile function,Supervisor,,,,"AFONCTION  (Function dictionary  ) , AFCTFCT  (User function profile  ) , FACILITY  (Sites  )"
APOOLBRG,APB,Pool of the java bridge,Supervisor,,,,"ADOSSIER  (Folder table  ) , TABLAN  (Language table  )"
AFCTPRF,AFP,Functional authorization,Supervisor,,,,"AFONCTION  (Function dictionary  ) , AFCTFCT  (User function profile  ) , COMPANY  (Company  )"
APOOLWS,APW,Web services pool,Supervisor,,,,"ADOSSIER  (Folder table  ) , TABLAN  (Language table  )"
AFONCTION,AFC,Function dictionary,Supervisor,,,,"AFONCTION  (Function dictionary  ) , ACTIV  (Activity codes  ) , ACTCODPAR  (Action parameters  ) , ACTION  (Action dictionary  )"
AREPORT,ARP,Report dictionary,Supervisor,,,,"ADOSSIER  (Folder table  ) , TABLAN  (Language table  ) , ABATHOR  (Hourly constraints  ) , AFONCTION  (Function dictionary  ) , ACTIV  (Activity codes  ) , ACCCOD  (Access codes  ) , AREPORT  (Report dictionary  ) , APRINTER  (Destinations  ) , AREPORTZ  (ZPL reports  )"
AFORDIM,AFO,Sizing formulas,Supervisor,,,,ATABLE  (Table dictionary  )
AGDPRMAI,AGMAI,,Supervisor,,,,ATABLE  (Table dictionary  )
AGDPRPHONE,AGPHO,,Supervisor,,,,ATABLE  (Table dictionary  )
AGDPRSETTING,AGS,GDPR setup,Supervisor,,,,"ATABLE  (Table dictionary  ) , ATYPE  (Data types  )"
AUSRSTA,AUA,Statistics,Supervisor,,,,ADOSSIER  (Folder table  )
AGDPRVCR,AGVCR,GDPR search,Supervisor,,,,"ATABLE  (Table dictionary  ) , ATYPE  (Data types  )"
AGLOBVAR,AGB,Global variables,Supervisor,,,,"ACTIV  (Activity codes  ) , ATYPE  (Data types  ) , AGLOBVAR  (Global variables  )"
AGRPFCY,AGF,Site groupings,Supervisor,,,,AGRPFCY  (Site groupings  )
AHISTO,AHI,History/purge,Supervisor,,,,"ACTIV  (Activity codes  ) , AHISTO  (History/purge  )"
AHISTOD,AHD,History/purge,Supervisor,,,,"ATABLE  (Table dictionary  ) , AHISTO  (History/purge  )"
AINDEX,ANX,Specific index,Supervisor,,,,ATABLE  (Table dictionary  )
AITRLNK,AIT,Interactive components,Supervisor,,,,"AFONCTION  (Function dictionary  ) , ATABDIV  (Miscellaneous tables  )"
AJSAUDIT,AJA,Audit,Supervisor,ASD,,,
AJSCONT,AJC,Sdata contract,Supervisor,ASD,,,
AJSEXCEPT,AJE,Exception,Supervisor,ASD,,,
AJSSYNC,AJS,Synchro,Supervisor,ASD,,,
ALINK,ALI,Link explorer,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , AOBJET  (Basic objects  )"
APLSTD,AST,Local menus,Supervisor,,,,TABLAN  (Language table  )
ALISTEC,ALC,Graphical query tool,Supervisor,,,,ALISTEH  (Query tool  )
APROCESSUS,APR,Processes,Supervisor,,,,"TABLAN  (Language table  ) , ACTIV  (Activity codes  ) , ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  )"
ALISTED,ALD,Query tool,Supervisor,,,,"ATYPE  (Data types  ) , ALISTEH  (Query tool  )"
APROCTEXTE,AXP,Process texts,Supervisor,,,,"TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , APROCESSUS  (Processes  )"
ALISTEH,ALH,Query tool,Supervisor,,,,"AFONCTION  (Function dictionary  ) , ACCCOD  (Access codes  ) , AOBJET  (Basic objects  ) , ALISTEH  (Query tool  ) , AREPORT  (Report dictionary  )"
AREPORTX,ARX,Reports,Supervisor,,,,TABLAN  (Language table  )
ALISTEL,ALL,Graphical query tool,Supervisor,,,,ALISTEH  (Query tool  )
ATEXTE,ATX,Dictionary messages,Supervisor,,,,TABLAN  (Language table  )
ALISTER,ALR,Query tool,Supervisor,,,,ALISTEH  (Query tool  )
ATEXTEXCEP,AEX,Exceptions (translations),Supervisor,DIS,,,TABLAN  (Language table  )
ALISTET,ALT,Graphical query tool,Supervisor,,,,"ATABLE  (Table dictionary  ) , ALISTEH  (Query tool  )"
ATEXTRA,AXX,Texts to translate,Supervisor,,,,"TABLAN  (Language table  ) , ATABLE  (Table dictionary  )"
AVOCAB,AVO,Personalized vocabulary,Supervisor,,,,TABLAN  (Language table  )
ALOGIN,ALO,Login table,Supervisor,AUDIT,,,
TABLAN,TLA,Language table,Supervisor,,Common data,Common Tables,TABLAN  (Language table  )
ALSTRD,ALS,Last records read,Supervisor,,,,AOBJET  (Basic objects  )
HON281,HHO,281.5 fees (Belgium),Financials,BE281,,,"TABLAN  (Language table  ) , COMPANY  (Company  ) , HONPRV  (Service suppliers  )"
AMAINT,AMI,Database mass update,Supervisor,,,,"ACTIV  (Activity codes  ) , ATABLE  (Table dictionary  ) , ATYPE  (Data types  ) , ACCCOD  (Access codes  ) , ACTL  (Control tables  )"
HONPRV,PRV,Service suppliers,Financials,FEE2,Common data,Business Partner,"TABLAN  (Language table  ) , HONPRV  (Service suppliers  )"
AMEMO,AMM,Memo,Supervisor,,,,"ACTIV  (Activity codes  ) , AWINDOW  (Window dictionary  )"
FUP,FUP,Reminders conducted,A/P-A/R accounting,FUP,,,"TABLAN  (Language table  ) , FACILITY  (Sites  ) , APRINTER  (Destinations  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  ) , FUPGRP  (Reminder groups  ) , TMPFUP0  (Campaign criteria  )"
AMENLOC,AML,Header messages,Supervisor,,,,ACTIV  (Activity codes  )
FUPTXT,FPT,Reminder texts,A/P-A/R accounting,FUP,,,TABLAN  (Language table  )
AMENUSER,AMU,User profile menu,Supervisor,,,,"AFONCTION  (Function dictionary  ) , APROFIL  (User profile  )"
PINVOICEV,PIV,Costing purchase invoices,Purchasing,,Purchasing,Purchase Invoice,"TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , TABDEPAGIO  (Early discount/late charge table  ) , TABPIVTYP  (Supp invoice type table  ) , PFOOTINV  (Purchase invoicing elements  )"
AMETUTI,AME,Trade profile,Supervisor,,,,"ABIPRFUSR  (BI user profile  ) , AFCTFCT  (User function profile  ) , APROFIL  (User profile  ) , AMETUTI  (Trade profile  )"
BILLLADWRK,BOLW,Bill of lading report,Common Data,,,,"TABLAN  (Language table  ) , TABUNIT  (Table of units of measure  ) , TABPACKAGE  (Packaging table  ) , FRTCLS  (Freight class  ) , FRTCOMCOD  (Freight commodity code  )"
BPDLVCUST,BPD,Ship-to customer,Common Data,,"Common data,Sales","Business Partner,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice,Sales Returns","TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNAVAIL  (Unavailable periods  ) , TABVACBPR  (BP tax rule table  ) , SALESREP  (Sales rep  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , STOLOC  (Locations  ) , INCOTERM  (Incoterms  )"
AMOTCLE,AMC,Help key-words,Supervisor,,,,ADOCFLD  (Field documentation  )
HTMMAITXT,HTMMAI,CRM email text,Common Data,,,,TABLAN  (Language table  )
AMOULIN,AI0,Migration process,Supervisor,,,,ATABLE  (Table dictionary  )
RPTDS,RDS,Report electronic signatures,Common Data,KPO,,,TABLAN  (Language table  )
TABCTL,TCT,Response table,Common Data,,,,TABLAN  (Language table  )
AMOULIN2,AI2,Migration plan detail,Supervisor,,,,
AMSK,AMK,Screen dictionary,Supervisor,,,,"ACTIV  (Activity codes  ) , ATABLE  (Table dictionary  ) , AMSK  (Screen dictionary  ) , AURL  (Definition of URL  ) , APTLVW  (Dashboard views  ) , ASTYLE  (Presentation styles  )"
AMSKACT,AMA,Action-object assignment table,Supervisor,,,,"ACTION  (Action dictionary  ) , AMSK  (Screen dictionary  )"
AMSKPAR,AMP,Action-object parameters,Supervisor,,,,"ACTCODPAR  (Action parameters  ) , AMSK  (Screen dictionary  )"
AMSKZON,AMZ,Screen field dictionary,Supervisor,,,,"ACTIV  (Activity codes  ) , ATYPE  (Data types  ) , ACCCOD  (Access codes  ) , ACTL  (Control tables  ) , AMSK  (Screen dictionary  ) , ASTYLE  (Presentation styles  ) , ASTYLEC  (Conditional styles  )"
